image_name,runtime,ressource_limit,mean,std,konf_intervall_unten,konf_intervall_oben,abweichung,type,docker_abweichung
mongo,katafc,default,"2,54","0,06","2,52","2,56","0,71",up,"302,69"
mongo,katafc,max,"2,55","0,06","2,53","2,57","0,68",up,"308,16"
mongo,katafc,min,"2,54","0,05","2,53","2,56","0,55",up,"309,86"
mongo,runsc,default,"0,87","0,05","0,86","0,89","1,67",up,"104,02"
mongo,runsc,max,"0,89","0,04","0,87","0,9","1,35",up,"107,13"
mongo,runsc,min,"0,89","0,05","0,87","0,9","1,47",up,"108,12"
nginx,default,default,"0,81","0,07","0,79","0,83","2,62",up,"100,0"
nginx,default,max,"0,81","0,04","0,8","0,82","1,41",up,"100,0"
nginx,default,min,"0,81","0,05","0,8","0,83","1,87",up,"100,0"
nginx,kata,default,"1,29","0,03","1,28","1,3","0,76",up,"160,27"
nginx,kata,max,"1,72","0,14","1,68","1,76","2,3",up,"212,79"
nginx,kata,min,"1,36","0,04","1,35","1,37","0,75",up,"168,2"
nginx,katafc,default,"2,54","0,07","2,52","2,56","0,83",up,"314,81"
nginx,katafc,max,"2,55","0,07","2,53","2,57","0,79",up,"314,7"
nginx,katafc,min,"2,52","0,03","2,51","2,53","0,36",up,"310,75"
nginx,runsc,default,"0,85","0,05","0,84","0,87","1,83",up,"105,56"
nginx,runsc,max,"0,85","0,05","0,83","0,86","1,59",up,"104,67"
nginx,runsc,min,"0,85","0,03","0,84","0,86","1,09",up,"104,82"
node-express,default,default,"0,8","0,03","0,79","0,81","1,11",up,"100,0"
node-express,default,max,"0,83","0,04","0,82","0,84","1,45",up,"100,0"
node-express,default,min,"0,8","0,04","0,79","0,81","1,42",up,"100,0"
node-express,kata,default,"1,31","0,04","1,29","1,32","0,97",up,"163,48"
node-express,kata,max,"1,76","0,08","1,73","1,78","1,31",up,"212,23"
node-express,kata,min,"1,37","0,05","1,36","1,38","0,96",up,"171,36"
node-express,katafc,default,"2,57","0,06","2,55","2,59","0,68",up,"321,62"
node-express,katafc,max,"2,55","0,05","2,53","2,56","0,56",up,"307,37"
node-express,katafc,min,"2,53","0,04","2,52","2,54","0,47",up,"316,21"
