runtime,image_name,ressource_limit,number_of_targets,std,mean,abweichung_in_prozent,konf_intervall_unten,konf_intervall_oben,docker_abweichung
katafc,go-httpd,default,3,297.2,20234.12,0.42,20149.18,20319.07,77.41
katafc,go-httpd,default,5,225.28,28602.12,0.23,28537.73,28666.51,110.74
katafc,go-httpd,default,8,403.02,27125.47,0.42,27010.28,27240.66,100.13
katafc,go-httpd,default,13,353.1,27353.11,0.37,27252.19,27454.03,94.8
katafc,go-httpd,default,21,330.44,28001.55,0.34,27907.11,28096.0,88.15
katafc,go-httpd,max,1,360.62,9961.83,1.03,9858.75,10064.9,45.66
katafc,go-httpd,max,2,145.65,17437.72,0.24,17396.09,17479.35,63.7
katafc,go-httpd,max,3,229.34,20210.65,0.32,20145.11,20276.2,75.5
katafc,go-httpd,max,5,208.03,29304.53,0.2,29245.08,29363.99,110.57
katafc,go-httpd,max,8,379.63,26767.66,0.41,26659.15,26876.16,97.21
katafc,go-httpd,max,13,302.76,26663.12,0.32,26576.59,26749.65,91.57
katafc,go-httpd,max,21,346.34,27810.46,0.36,27711.47,27909.45,86.89
katafc,go-httpd,min,1,205.31,10076.52,0.58,10017.84,10135.2,374.37
katafc,go-httpd,min,2,150.88,17381.52,0.25,17338.4,17424.64,97.87
katafc,go-httpd,min,3,255.25,20273.05,0.36,20200.09,20346.0,80.72
katafc,go-httpd,min,5,200.36,28707.01,0.2,28649.74,28764.27,115.12
katafc,go-httpd,min,8,378.27,27503.05,0.39,27394.93,27611.16,105.08
katafc,go-httpd,min,13,611.22,27281.12,0.64,27106.43,27455.81,97.95
katafc,go-httpd,min,21,471.84,27825.11,0.48,27690.25,27959.97,90.14
katafc,httpd,default,1,82.41,1739.31,1.35,1715.76,1762.87,8.05
katafc,httpd,default,2,138.16,3318.77,1.19,3279.28,3358.26,12.45
katafc,httpd,default,3,133.13,7730.85,0.49,7692.8,7768.91,31.6
katafc,httpd,default,5,143.07,7875.77,0.52,7834.88,7916.66,32.32
katafc,httpd,default,8,104.72,5600.69,0.53,5570.76,5630.62,22.09
katafc,httpd,default,13,96.76,5522.91,0.5,5495.25,5550.56,20.68
katafc,httpd,default,21,114.74,6077.49,0.54,6044.69,6110.28,20.86
katafc,httpd,max,1,111.32,1696.18,1.88,1664.36,1727.99,7.87
katafc,httpd,max,2,168.09,3317.24,1.45,3269.2,3365.29,12.51
katafc,httpd,max,3,145.27,7726.36,0.54,7684.84,7767.88,31.75
katafc,httpd,max,5,145.1,7881.18,0.53,7839.71,7922.65,32.51
katafc,httpd,max,8,112.88,5546.1,0.58,5513.84,5578.37,22.06
katafc,httpd,max,13,96.02,5554.87,0.49,5527.43,5582.32,20.95
katafc,httpd,max,21,114.28,6088.35,0.54,6055.69,6121.02,20.96
katafc,httpd,min,1,63.43,1742.4,1.04,1724.27,1760.53,121.47
katafc,httpd,min,2,106.98,3392.13,0.9,3361.56,3422.71,102.83
katafc,httpd,min,3,132.12,7782.04,0.49,7744.28,7819.8,148.63
katafc,httpd,min,5,173.08,7880.06,0.63,7830.59,7929.52,36.92
katafc,httpd,min,8,107.93,5489.37,0.56,5458.52,5520.22,24.5
katafc,httpd,min,13,106.2,5504.4,0.55,5474.04,5534.75,22.98
katafc,httpd,min,21,107.99,5983.41,0.52,5952.54,6014.27,22.38
katafc,nginx,default,1,165.7,1959.67,2.42,1912.31,2007.03,10.69
katafc,nginx,default,2,345.33,4783.46,2.06,4684.76,4882.16,20.36
katafc,nginx,default,3,232.81,14028.12,0.47,13961.58,14094.66,61.6
katafc,nginx,default,5,173.84,17347.85,0.29,17298.17,17397.54,74.06
katafc,nginx,default,8,167.49,10469.58,0.46,10421.71,10517.45,41.78
katafc,nginx,default,13,261.19,9118.83,0.82,9044.18,9193.48,33.95
katafc,nginx,default,21,240.77,9690.75,0.71,9621.94,9759.57,31.99
katafc,nginx,max,1,135.86,2008.4,1.93,1969.57,2047.23,10.94
katafc,nginx,max,2,398.2,4750.21,2.4,4636.4,4864.02,19.83
katafc,nginx,max,3,209.11,14130.62,0.42,14070.85,14190.39,60.94
katafc,nginx,max,5,172.09,17405.32,0.28,17356.13,17454.5,73.27
katafc,nginx,max,8,181.58,10501.1,0.49,10449.2,10552.99,41.58
katafc,nginx,max,13,240.25,8928.73,0.77,8860.06,8997.4,33.03
katafc,nginx,max,21,252.52,9630.5,0.75,9558.32,9702.67,31.7
katafc,nginx,min,1,121.56,2015.9,1.72,1981.15,2050.64,11.14
katafc,nginx,min,2,324.76,4937.66,1.88,4844.84,5030.48,21.06
katafc,nginx,min,3,210.84,14233.93,0.42,14173.67,14294.2,62.43
katafc,nginx,min,5,193.74,17504.66,0.32,17449.28,17560.03,74.99
katafc,nginx,min,8,184.7,10476.64,0.5,10423.85,10529.43,42.09
katafc,nginx,min,13,237.48,8996.86,0.75,8928.98,9064.74,33.67
katafc,nginx,min,21,294.24,9382.76,0.9,9298.66,9466.86,31.24
katafc,python-tornado,default,1,59.46,1506.22,1.13,1489.22,1523.21,82.96
katafc,python-tornado,default,2,117.53,2771.73,1.21,2738.14,2805.32,77.77
katafc,python-tornado,default,3,190.8,3750.15,1.45,3695.62,3804.68,71.97
katafc,python-tornado,default,5,48.54,5041.44,0.28,5027.57,5055.31,66.02
katafc,python-tornado,default,8,43.47,5069.63,0.25,5057.2,5082.05,61.14
katafc,python-tornado,default,13,47.43,4973.91,0.27,4960.35,4987.47,54.39
katafc,python-tornado,default,21,51.45,5579.64,0.26,5564.94,5594.35,53.03
katafc,python-tornado,max,1,110.15,1468.11,2.14,1436.62,1499.59,79.94
katafc,python-tornado,max,2,110.61,2773.32,1.14,2741.71,2804.93,77.56
katafc,python-tornado,max,3,170.0,3793.09,1.28,3744.5,3841.68,72.65
katafc,python-tornado,max,5,54.97,5026.27,0.31,5010.56,5041.98,65.63
katafc,python-tornado,max,8,42.41,5060.01,0.24,5047.89,5072.13,61.09
katafc,python-tornado,max,13,42.22,4981.46,0.24,4969.39,4993.53,54.72
katafc,python-tornado,max,21,77.07,5542.65,0.4,5520.63,5564.68,52.76
katafc,python-tornado,min,1,120.12,1451.24,2.37,1416.91,1485.57,79.45
katafc,python-tornado,min,2,122.09,2764.14,1.26,2729.25,2799.04,77.43
katafc,python-tornado,min,3,153.12,3840.48,1.14,3796.71,3884.24,73.37
katafc,python-tornado,min,5,55.57,5060.69,0.31,5044.81,5076.58,66.1
katafc,python-tornado,min,8,45.55,5039.87,0.26,5026.86,5052.89,60.82
katafc,python-tornado,min,13,39.58,4931.83,0.23,4920.51,4943.14,54.2
katafc,python-tornado,min,21,56.26,5473.58,0.29,5457.5,5489.66,51.88
runnc,go-httpd,default,1,370.85,7608.3,1.39,7502.3,7714.29,36.21
runnc,go-httpd,default,2,234.83,15292.82,0.44,15225.7,15359.94,57.08
runnc,go-httpd,default,3,81.26,22399.19,0.1,22375.97,22422.42,85.69
runnc,go-httpd,default,5,1732.13,32792.47,1.51,32297.4,33287.53,126.96
runnc,go-httpd,default,8,893.05,39058.64,0.65,38803.39,39313.89,144.19
runnc,go-httpd,default,13,522.1,50794.78,0.29,50645.56,50944.01,176.04
runnc,go-httpd,default,21,992.04,55906.06,0.51,55622.52,56189.6,175.99
runnc,go-httpd,max,1,558.65,7452.65,2.14,7292.98,7612.32,34.16
runnc,go-httpd,max,2,82.9,15211.81,0.16,15188.12,15235.51,55.57
runnc,go-httpd,max,3,1245.36,22176.98,1.61,21821.04,22532.92,82.85
runnc,go-httpd,max,5,2092.26,32105.71,1.86,31507.71,32703.71,121.14
runnc,go-httpd,max,8,945.77,38559.02,0.7,38288.7,38829.33,140.03
runnc,go-httpd,max,13,456.25,51033.57,0.26,50903.17,51163.97,175.26
runnc,go-httpd,max,21,1691.51,55904.08,0.86,55420.62,56387.54,174.66
runnc,go-httpd,min,1,429.71,7547.29,1.63,7424.48,7670.11,280.4
runnc,go-httpd,min,2,360.51,15244.59,0.68,15141.55,15347.63,85.84
runnc,go-httpd,min,3,111.32,22276.71,0.14,22244.89,22308.53,88.7
runnc,go-httpd,min,5,1327.05,32727.45,1.16,32348.16,33106.74,131.24
runnc,go-httpd,min,8,900.74,38421.79,0.67,38164.35,38679.24,146.8
runnc,go-httpd,min,13,387.73,51008.28,0.22,50897.46,51119.1,183.15
runnc,go-httpd,min,21,672.55,56241.75,0.34,56049.53,56433.98,182.2
runnc,python-tornado,default,1,122.58,1986.88,1.76,1951.85,2021.92,109.44
runnc,python-tornado,default,2,186.67,3814.52,1.4,3761.17,3867.87,107.03
runnc,python-tornado,default,3,154.9,5585.77,0.79,5541.49,5630.04,107.19
runnc,python-tornado,default,5,166.3,8065.6,0.59,8018.07,8113.13,105.63
runnc,python-tornado,default,8,398.21,8905.51,1.28,8791.7,9019.32,107.39
runnc,python-tornado,max,1,123.66,1972.93,1.79,1937.59,2008.28,107.43
