"runtime","image_name","ressource_limit","repeat","gflops","filepath"
"katafc","linpack","default","17","1.2007e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_17/linpack.txt"
"katafc","linpack","default","18","1.2025e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_18/linpack.txt"
"katafc","linpack","default","19","1.2032e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_19/linpack.txt"
"katafc","linpack","default","2","1.2032e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_2/linpack.txt"
"katafc","linpack","default","20","1.2022e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_20/linpack.txt"
"katafc","linpack","default","21","1.2023e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_21/linpack.txt"
"katafc","linpack","default","22","1.2022e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_22/linpack.txt"
"katafc","linpack","default","23","1.2043e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_23/linpack.txt"
"katafc","linpack","default","24","1.2031e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_24/linpack.txt"
"katafc","linpack","default","25","1.2028e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_25/linpack.txt"
"katafc","linpack","default","26","-1.0","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_26/linpack.txt"
"katafc","linpack","default","27","1.2016e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_27/linpack.txt"
"katafc","linpack","default","28","1.2033e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_28/linpack.txt"
"katafc","linpack","default","29","1.2019e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_29/linpack.txt"
"katafc","linpack","default","3","1.2034e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_3/linpack.txt"
"katafc","linpack","default","30","1.2026e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_30/linpack.txt"
"katafc","linpack","default","31","1.2029e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_31/linpack.txt"
"katafc","linpack","default","32","1.2015e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_32/linpack.txt"
"katafc","linpack","default","34","1.2024e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_34/linpack.txt"
"katafc","linpack","default","35","1.2036e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_35/linpack.txt"
"katafc","linpack","default","4","1.2040e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_4/linpack.txt"
"katafc","linpack","default","5","1.2017e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_5/linpack.txt"
"katafc","linpack","default","6","1.2041e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_6/linpack.txt"
"katafc","linpack","default","7","1.2026e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_7/linpack.txt"
"katafc","linpack","default","8","1.2036e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_8/linpack.txt"
"katafc","linpack","default","9","1.2024e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_9/linpack.txt"
"default","linpack","max","1","4.6985e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_1/linpack.txt"
"default","linpack","max","10","4.6902e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_10/linpack.txt"
"default","linpack","max","11","4.6974e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_11/linpack.txt"
"default","linpack","max","12","4.6910e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_12/linpack.txt"
"default","linpack","max","13","4.6898e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_13/linpack.txt"
"default","linpack","max","14","4.7010e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_14/linpack.txt"
"default","linpack","max","15","4.6954e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_15/linpack.txt"
"default","linpack","max","16","4.7020e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_16/linpack.txt"
"default","linpack","max","17","4.6981e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_17/linpack.txt"
"default","linpack","max","18","4.6898e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_18/linpack.txt"
"default","linpack","max","19","4.6897e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_19/linpack.txt"
"default","linpack","max","2","4.6998e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_2/linpack.txt"
"default","linpack","max","20","4.6922e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_20/linpack.txt"
"default","linpack","max","21","4.6969e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_21/linpack.txt"
"default","linpack","max","22","4.6905e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_22/linpack.txt"
"default","linpack","max","23","4.6981e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_23/linpack.txt"
"default","linpack","max","24","4.6897e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_24/linpack.txt"
"default","linpack","max","25","4.6882e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_25/linpack.txt"
"default","linpack","max","26","4.7121e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_26/linpack.txt"
"default","linpack","max","27","4.6874e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_27/linpack.txt"
"default","linpack","max","28","4.6912e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_28/linpack.txt"
"default","linpack","max","29","4.6924e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_29/linpack.txt"
"default","linpack","max","3","4.7021e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_3/linpack.txt"
"default","linpack","max","30","4.6915e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_30/linpack.txt"
"default","linpack","max","31","4.6901e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_31/linpack.txt"
"default","linpack","max","32","4.7071e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_32/linpack.txt"
"default","linpack","max","33","4.7089e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_33/linpack.txt"
"default","linpack","max","34","4.7015e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_34/linpack.txt"
"default","linpack","max","35","4.6860e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_35/linpack.txt"
"default","linpack","max","4","4.6869e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_4/linpack.txt"
"default","linpack","max","5","4.7094e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_5/linpack.txt"
