runtime,image_name,ressource_limit,number_of_targets,std,mean,abweichung_in_prozent,konf_intervall_unten,konf_intervall_oben,docker_abweichung
katafc,nginx,default,21,"148,65","3534,94","1,2","3492,46","3577,43","107,26"
katafc,nginx,max,1,"527,0","2134,06","7,06","1983,43","2284,68","102,12"
katafc,nginx,max,2,"12,94","1728,8","0,21","1725,1","1732,5","110,38"
katafc,nginx,max,3,"5,31","1755,17","0,09","1753,66","1756,69","113,0"
katafc,nginx,max,5,"15,22","1855,4","0,23","1851,05","1859,75","112,41"
katafc,nginx,max,8,"39,02","2153,91","0,52","2142,76","2165,07","120,38"
katafc,nginx,max,13,"79,79","2722,6","0,84","2699,8","2745,4","120,99"
katafc,nginx,max,21,"151,31","3831,46","1,13","3788,21","3874,7","113,68"
katafc,nginx,min,1,"412,18","1733,11","6,8","1615,31","1850,92","81,17"
katafc,nginx,min,2,"11,37","1478,74","0,22","1475,49","1481,99","98,14"
katafc,nginx,min,3,"3,97","1488,46","0,08","1487,32","1489,59","99,51"
katafc,nginx,min,5,"15,43","1598,37","0,28","1593,96","1602,78","100,62"
katafc,nginx,min,8,"34,4","1864,23","0,53","1854,4","1874,06","107,89"
katafc,nginx,min,13,"72,94","2417,37","0,86","2396,52","2438,22","111,22"
katafc,nginx,min,21,"150,71","3497,86","1,23","3454,78","3540,93","107,99"
katafc,python-tornado,default,1,"667,68","2051,91","9,3","1861,08","2242,75","100,8"
katafc,python-tornado,default,2,"46,59","1409,89","0,94","1396,57","1423,2","91,72"
katafc,python-tornado,default,3,"14,64","1364,26","0,31","1360,07","1368,44","89,34"
katafc,python-tornado,default,5,"18,95","1478,71","0,37","1473,3","1484,13","89,36"
katafc,python-tornado,default,8,"39,06","1744,66","0,64","1733,49","1755,82","90,81"
katafc,python-tornado,default,13,"56,97","2198,54","0,74","2182,26","2214,83","87,7"
katafc,python-tornado,default,21,"113,91","3053,86","1,07","3021,3","3086,42","82,99"
katafc,python-tornado,max,1,"819,19","2211,89","10,59","1977,75","2446,02","111,82"
